date,portfolio_value,cash,total_holdings_value,total_return,drawdown,gross_exposure
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000,0.000000
2020-01-03,100824.906381,8054.611924,92770.294456,0.008249,0.000000,0.920113
2020-01-06,102332.366452,8054.611924,94277.754528,0.023324,0.000000,0.921290
2020-01-07,103573.544675,8054.611924,95518.932751,0.035735,0.000000,0.922233
2020-01-08,105158.166764,8054.611924,97103.554840,0.051582,0.000000,0.923405
2020-01-09,105078.492005,8054.611924,97023.880081,0.050785,-0.000758,0.923347
2020-01-10,105409.196214,8054.611924,97354.584290,0.054092,0.000000,0.923587
2020-01-13,108247.343797,8054.611924,100192.731873,0.082473,0.000000,0.925591
2020-01-14,109741.489144,8054.611924,101686.877220,0.097415,0.000000,0.926604
2020-01-15,108923.176736,8054.611924,100868.564812,0.089232,-0.007457,0.926052
2020-01-16,109322.279695,8054.611924,101267.667770,0.093223,-0.003820,0.926322
2020-01-17,110005.687463,8054.611924,101951.075539,0.100057,0.000000,0.926780
2020-01-21,111014.057931,8054.611924,102959.446007,0.110141,0.000000,0.927445
2020-01-22,111855.104501,8054.611924,103800.492577,0.118551,0.000000,0.927991
2020-01-23,111672.457162,8054.611924,103617.845238,0.116725,-0.001633,0.927873
2020-01-24,110978.490075,8054.611924,102923.878151,0.109785,-0.007837,0.927422
2020-01-27,110334.240922,8054.611924,102279.628998,0.103342,-0.013597,0.926998
2020-01-28,112795.249520,8054.611924,104740.637596,0.127952,0.000000,0.928591
2020-01-29,114075.300897,8054.611924,106020.688972,0.140753,0.000000,0.929392
2020-01-30,117731.755258,8054.611924,109677.143333,0.177318,0.000000,0.931585
2020-01-31,116233.352288,8054.611924,108178.740364,0.162334,-0.012727,0.930703
2020-02-03,121435.582563,6994.554006,114441.028557,0.214356,0.000000,0.942401
2020-02-04,126739.399041,6994.554006,119744.845036,0.267394,0.000000,0.944812
2020-02-05,122846.093004,6994.554006,115851.538998,0.228461,-0.030719,0.943062
2020-02-06,124425.802087,6994.554006,117431.248081,0.244258,-0.018255,0.943785
2020-02-07,124048.210618,6994.554006,117053.656612,0.240482,-0.021234,0.943614
2020-02-10,125892.751077,6994.554006,118898.197071,0.258928,-0.006680,0.944440
2020-02-11,126025.383661,6994.554006,119030.829655,0.260254,-0.005634,0.944499
2020-02-12,126778.019487,6994.554006,119783.465481,0.267780,0.000000,0.944828
2020-02-13,127470.720853,6994.554006,120476.166847,0.274707,0.000000,0.945128
2020-02-14,127794.532163,6994.554006,120799.978157,0.277945,0.000000,0.945267
2020-02-18,129186.042459,6994.554006,122191.488453,0.291860,0.000000,0.945857
2020-02-19,130646.491887,6994.554006,123651.937881,0.306465,0.000000,0.946462
2020-02-20,129252.760530,6994.554006,122258.206524,0.292528,-0.010668,0.945885
2020-02-21,127893.174825,6994.554006,120898.620819,0.278932,-0.021075,0.945309
2020-02-24,122606.054174,6994.554006,115611.500168,0.226061,-0.061543,0.942951
2020-02-25,119013.130124,6994.554006,112018.576118,0.190131,-0.089045,0.941229
2020-02-26,117796.409787,6994.554006,110801.855782,0.177964,-0.098358,0.940622
2020-02-27,110299.007699,6994.554006,103304.453693,0.102990,-0.155745,0.936586
2020-02-28,110113.534952,6994.554006,103118.980946,0.101135,-0.157164,0.936479
2020-03-02,117327.903900,7153.069717,110174.834183,0.173279,-0.101944,0.939034
2020-03-03,114718.212540,7153.069717,107565.142822,0.147182,-0.121919,0.937647
2020-03-04,117567.087372,7153.069717,110414.017654,0.175671,-0.100113,0.939158
2020-03-05,115329.618317,7153.069717,108176.548599,0.153296,-0.117239,0.937977
2020-03-06,113459.700302,7153.069717,106306.630585,0.134597,-0.131552,0.936955
2020-03-09,103126.253082,7153.069717,95973.183365,0.031263,-0.210647,0.930638
2020-03-10,108183.660866,7153.069717,101030.591148,0.081837,-0.171936,0.933880
2020-03-11,105051.941765,7153.069717,97898.872047,0.050519,-0.195907,0.931909
